country,year,death_rates_from_natural_disasters_1990_2019
World,1990,0.94
World,1991,2.88
World,1992,0.22
World,1993,0.38
World,1994,0.22
World,1995,0.33
World,1996,0.25
World,1997,0.3
World,1998,0.81
World,1999,1.15
World,2000,0.14
World,2001,0.47
World,2002,0.14
World,2003,0.56
World,2004,3.75
World,2005,1.35
World,2006,0.3
World,2007,0.24
World,2008,3.46
World,2009,0.16
World,2010,3.56
World,2011,0.45
World,2012,0.13
World,2013,0.37
World,2014,0.1
World,2015,0.21
World,2016,0.12
World,2017,0.18
World,2018,0.14
World,2019,0.08
